check,quantity,relation,threshold,required,status,decides,reason,note
exclusion_rule,tie_mass of a (cohort marker) pair,>=,0.5,1,REPLACED by D-28 before any training run,superseded,"declared first: over half the cells share one raw value, so a constant predictor is right at least half the time by construction","REPLACED, NOT DELETED. Building the dynamic-range table (no model fitted) showed two defects. (1) It catches NONE of the five cases it was written for: UPMC CD152/PDL1/PD1/CD134/CD47 all measure tie_mass 0.0001 with over 1M distinct values each, because UPMC arrives arcsinh and Stage 1's ECDF had already fixed them - the plan's 'IQR about 0.05' was measured on the raw arcsinh scale, the exact 'raw IQR is not comparable across cohorts' error the design warns about. (2) It over-fires where it does hit: 29/39 Keren and 16/17 Sorin markers including CD3 CD4 CD8A CD20 CD68 HLA-DR, and Sorin is the panel-mismatch stress test. Also the mechanism was backwards - flat markers do not inflate R2, the R2 DENOMINATOR COLLAPSES (median Var(u_coh) 0.0847 below tie_mass 0.1 vs 0.0154 above 0.9, min 0.00004, against 1/12 = 0.0833 untied)"
exclusion_rule,rank_spread = Var(u_coh) / (1/12) of a (cohort marker) pair,<,0.20,1,Accepted (D-28),excluded from the mask loss and from the headline R2 table,"stated on the quantity that actually matters - the R2 denominator itself, as a fraction of what an untied marker has. Below this floor R2 is a ratio of two tiny numbers and stops carrying information","separates a dead channel from a sparse-but-real one, which tie_mass does not: Sorin CD8A is tie_mass 0.83 (old rule would exclude it) but rank_spread 0.55, so it stays. Removes 13 pairs (Keren 10, Sorin 3) instead of 46. A declared judgement, not a derived optimum - reported with a sweep over 0.10/0.20/0.30/0.50 and the replaced tie_mass sweep alongside, so both are checkable"
exclusion_rule,"rank_spread measured on the SCORED SPLIT, not only cohort-wide",<,0.20,1,Accepted (D-29),also excluded from the headline R2 table,"the same floor applied consistently. The rule is computed over every cell of the cohort but R2 is computed on the held-out slides, so a marker expressed on some slides and not others clears the cohort-wide floor and still has a collapsed denominator exactly where it is scored","found by the first Gate 2 run. Measured case: Keren TP53, cohort-wide rank_spread 0.3843 (comfortably kept) but 0.050 on its held-out slides, and it was the single kept pair with a negative R2 (-1.574). Keren has 40 slides, the fewest on the roster, so it is the most exposed. Needs no retraining - the denominator was already stored as baseline_mse"
1,minimum R2 over kept (cohort marker) pairs on held-out slides,>,0.0,1,Accepted,PASS/FAIL,every kept marker must carry information the model can recover; a negative R2 means the model is worse than the training mean on that marker,"held out BY SLIDE, not by cell, so nothing is trivially memorised. R2 = 1 - MSE_model / MSE_mean, mean taken on the training split"
1,median R2 over kept (cohort marker) pairs on held-out slides,>=,0.10,1,Accepted,PASS/FAIL,"a floor on the typical marker, not just the easy ones",matches the order of magnitude Gate 1 measured for the 9-marker core (0.169 LOCO)
2,mean R2 of EXCLUDED pairs minus mean R2 of KEPT pairs in the no-exclusion diagnostic run,>,0.0,1,REPLACED by D-28 before any training run,superseded,"declared first: the exclusion must remove markers that INFLATE the score",tested the wrong mechanism. The measured mechanism is denominator collapse rather than score inflation - see the exclusion_rule note above
2,"absolute difference in median R2 between excluded and kept pairs, OR ratio of their R2 inter-quartile ranges, in the no-exclusion diagnostic run",>=,0.10 (median) or 2.0x (IQR ratio),1,Accepted (D-28),PASS/FAIL,"the exclusion must be shown to REMOVE SOMETHING - either the excluded pairs score materially differently, or their R2 is materially wilder because the denominator has collapsed. If they look like ordinary markers, the rule removes nothing and must be dropped","measured in a separate run trained with no exclusions at all, so the number answers 'what would they have scored if they were included'. Either-or rather than a single directional test, because a collapsed denominator can throw R2 in either direction"
2,full table of every excluded (cohort marker) pair with rank_spread var_ucoh tie_mass robust_dispersion and baseline MSE,present,,1,Accepted,PASS/FAIL,the exclusion is auditable or it is hidden,"reported as its own table in reports/s2_masking.md, plus both threshold sweeps"
3,full-panel LOCO masked-marker R2 restricted to the 9 core markers,>=,0.169,1,Accepted,PASS/FAIL,"Gate 1's winning arm V3 scored 0.169 on the same 9 markers with the same target quantity. Stage 2 must at least match it, or the wider panel bought nothing",Gate 1 used a concat MLP; this row alone cannot separate panel width from architecture - row 3b does that
3b,full-panel LOCO R2 on the 9 core markers minus core-9-control LOCO R2 on the same markers,>,0.0,1,Accepted (D-27),PASS/FAIL,"this is the row that actually answers H3. The control is the SAME set transformer restricted to 9 markers, so the only thing that changes is panel width","added 2026-08-10 as D-27, declared before the run. Without it a win could be architecture rather than the dynamic tokens"
