case,relation,members,required,reason,note,waived,waiver_reason
tumour_epithelial,same,ferguson|SC;CRC|tumor cells;UPMC|Tumor;Keren|Keratin_positive_tumor,1,"four names with no shared word - SC, tumor cells, Tumor, Keratin_positive_tumor - that are one cell type. All four are the highest pan-keratin class in their own cohort, so marker profiles must merge them",the plan's hard case 1,0,
endothelium,same,CRC|vasculature;UPMC|Vessel;Keren|Endothelial,1,three names with no shared word that are one cell type. All three are their cohort's CD31-high class,the plan's hard case 2 restricted to the members it can actually be tested on - see the ferguson row,0,
endothelium_ferguson,same,CRC|vasculature;UPMC|Vessel;Keren|Endothelial;ferguson|EC,0,"the plan's hard case 2 as originally written, with ferguson|EC included",DECLARED BEFORE THE RUN AS EXPECTED-TO-FAIL FOR A DATA REASON. Gate 1 measured ferguson EC vs CD31 at AUROC 0.500 and this run re-measured ferguson's per-label CD31 medians as flat (EC 0.476 against a cohort median of 0.500). ferguson's endothelium is marked by CD13/ANPEP (median 0.866) and CD13 is in NO other cohort. So no shared marker can relate ferguson EC to any other endothelial label. A singleton or an abstention here is the CORRECT answer given the data and is scored as such; forcing the merge would mean the method is not using evidence,0,
stroma,same,CRC|stroma;UPMC|Stromal / Fibroblast;Keren|Mesenchymal_like,1,three names with no shared word that are one cell type,the plan's hard case 3,1,"WAIVED AFTER THE RUN, on measured evidence, by explicit user decision 2026-08-10. This case was declared REQUIRED before the run and it FAILED - that history is left visible on purpose. The cause is the panel, not the method: of the 17 informative markers CRC+UPMC+Keren share, the only fibroblast-associated one is VIM, which is not fibroblast-specific. NO PDGFRB, FAP, COL1A1, DCN, LUM, POSTN, S100A4 or TAGLN exists anywhere in the roster; ACTA2 is CRC+UPMC only and CD34 is CRC+Phillips+UPMC only. Stroma is a NEGATIVE-DEFINITION class in this panel - CRC stroma's nearest cross-cohort neighbours are Sorin MONOCYTES (0.813), which are also negative for every lineage marker. Measured similarities 0.42-0.58 against a 0.449 merge threshold. CONSEQUENCE: stromal/fibroblast clusters are NOT reliable and must be excluded from or flagged in Stage 7 scoring. Re-test if a cohort with a fibroblast-specific marker is ever added."
cd4_vs_cd8,different,UPMC|CD4 T cell;UPMC|CD8 T cell,1,"cosine similarity of the two NAMES is about 0.97 so a text encoder merges them. They are opposite cell types and CD4/CD8A are both in the shared panel, so marker profiles must split them - with no file telling them to",the plan's hard case 4,0,
same_name_different_type,different,Phillips|tumor cells;CRC|tumor cells,1,"IDENTICAL strings, different cell types. Phillips is cutaneous T-cell lymphoma so its malignant cells are T lymphocytes; CRC's are colorectal epithelium. Gate 1 measured Phillips tumor cells at CD3 0.815 and keratin 0.432 (below chance)","ADDED to the plan's four. This is the strongest single test of the whole Stage 1b claim - align by profile, not by name. A text encoder scores these identical and must merge them; a marker method must split them",0,
b_cells,same,CRC|B cells;UPMC|B cell;Keren|B;ferguson|BC;Phillips|B cells;Sorin|B cell,0,CD20/MS4A1 is one of the 9 all-cohort core markers and B cells were 0.91-0.99 AUROC in every cohort at Gate 1,diagnostic - the easiest possible merge. Failing this means something is broken upstream,0,
macrophages,same,CRC|CD68+CD163+ macrophages;UPMC|Macrophage;Keren|Macrophages;ferguson|MC;Phillips|macrophages (M1>M2);Sorin|Cl MAC,0,CD68 is one of the 9 all-cohort core markers,diagnostic,0,
cd8_t,same,CRC|CD8+ T cells;UPMC|CD8 T cell;Keren|CD8_T;ferguson|TC_CD8;Phillips|CD8+ T cells;Sorin|Tc,0,CD8A is one of the 9 all-cohort core markers. Note ferguson TC_CD8 and Sorin Tc share no word with the others,diagnostic - and the opaque-code case that text cannot do,0,
tumour_vs_tcell,different,UPMC|Tumor;UPMC|CD8 T cell,0,"keratin-high epithelium versus a CD8 lymphocyte, inside ONE cohort so every marker is shared",diagnostic floor - if this fails the containment measure itself is broken,0,
nest_tcell,nested,CRC|CD8+ T cells;CRC|CD3+ T cells,0,"a generic CD3+ T cell class must CONTAIN the CD8+ subset - same cohort, so every marker is shared and the only thing being measured is direction",the plan's check 5. Three outcomes are reported and none is hidden: found as nesting / merged into one cluster / neither. A merge is a granularity decision the stability filter is allowed to make and is reported as such,0,
nest_tumour_ki67,nested,UPMC|Tumor (Ki67+);UPMC|Tumor,0,"a proliferation-gated tumour subset must sit INSIDE the parent tumour class - this is a state, not a type, so nesting is the correct relation and a split would be wrong",the plan's check 5,0,
nest_treg,nested,Keren|Tregs;Keren|CD4_T,0,regulatory T cells are a FOXP3+ subset of CD4 T cells,the plan's check 5,0,
