case,relation,members,required,reason,note,waived,waiver_reason
tumour_epithelial,same,ferguson|SC;CRC|tumor cells;UPMC|Tumor;Keren|Keratin_positive_tumor,1,"four names with no shared word - SC, tumor cells, Tumor, Keratin_positive_tumor - that are one cell type. All four are the highest pan-keratin class in their own cohort, so marker profiles must merge them",the plan's hard case 1,1,"WAIVED AFTER THE RUN, 2026-09-11, by explicit user decision (option 1). Declared REQUIRED before the run in v2 and FAILED - left visible on purpose; v2 is untouched. Shipped config: v1 weighted RMS, label QC on, cut 0.750 (all three guards pass), 34 clusters. MECHANISM MEASURED: rescale() centres each marker on the median LABEL of the cohort, so a cohort that annotates one compartment into many sub-labels centres on one of them. UPMC has 6 of 16 labels keratin-high and Danenberg 9 of 29; their tumour labels rescale to keratin P = 0.02-0.30, against 0.72-0.94 for cohorts that label tumour once (Keren, ferguson, Sorin, Phillips) - e.g. UPMC Tumor raw rank 0.573 -> P 0.05, ferguson SC raw rank 0.556 -> P 0.72. Same biology, 14x apart. They fall into a residual cluster named ""no discriminative shared marker"". CRC tumor cells also lands there at P 0.59 with only 1 of 23 keratin-high labels, so the rescale mechanism does NOT explain the CRC member - that cause is NOT established. Keren, ferguson, Sorin and Phillips epithelium DO form one coherent 3-tissue KRT+ cluster, which stays reliable. RETEST when rescale centring stops depending on annotation depth."
endothelium,same,CRC|vasculature;UPMC|Vessel;Keren|Endothelial,1,three names with no shared word that are one cell type. All three are their cohort's CD31-high class,the plan's hard case 2 restricted to the members it can actually be tested on - see the ferguson row,1,"WAIVED AFTER THE RUN, 2026-09-11, by explicit user decision (option 1). Declared REQUIRED before the run in v2 and FAILED - left visible on purpose; v2 is untouched. Shipped config: v1 weighted RMS, label QC on, cut 0.750 (all three guards pass), 34 clusters. OUTCOME MEASURED, MECHANISM NOT ESTABLISHED: CRC vasculature and UPMC Vessel merge correctly, with Phillips vasculature and Sorin Endothelial cell, into one coherent 4-tissue PECAM1+ CD34+ cluster that stays reliable. The failing member is Keren Endothelial, which merges instead with Keren Mesenchymal_like into a single-cohort cluster. RETEST after the rescale fix."
endothelium_ferguson,same,CRC|vasculature;UPMC|Vessel;Keren|Endothelial;ferguson|EC,0,"the plan's hard case 2 as originally written, with ferguson|EC included",DECLARED BEFORE THE RUN AS EXPECTED-TO-FAIL FOR A DATA REASON. Gate 1 measured ferguson EC vs CD31 at AUROC 0.500 and this run re-measured ferguson's per-label CD31 medians as flat (EC 0.476 against a cohort median of 0.500). ferguson's endothelium is marked by CD13/ANPEP (median 0.866) and CD13 is in NO other cohort. So no shared marker can relate ferguson EC to any other endothelial label. A singleton or an abstention here is the CORRECT answer given the data and is scored as such; forcing the merge would mean the method is not using evidence,0,
stroma,same,CRC|stroma;UPMC|Stromal / Fibroblast;Keren|Mesenchymal_like,1,three names with no shared word that are one cell type,the plan's hard case 3,1,"ORIGINAL WAIVER 2026-08-10: ""NO PDGFRB, FAP, COL1A1, DCN, LUM, POSTN, S100A4 or TAGLN exists anywhere in the roster ... Re-test if a cohort with a fibroblast-specific marker is ever added."" RE-TESTED 2026-09-11: that condition is now MET - Danenberg adds PDGFRB (HGNC:8804) and FSP1 -> S100A4 (HGNC:10494). The case still FAILS. The cause has changed from ""no fibroblast marker exists"" to ""the fibroblast markers exist in ONE cohort"": see stroma_bridged, LOCO ARI -0.018 without Danenberg. Waiver RENEWED on that measured cause."
cd4_vs_cd8,different,UPMC|CD4 T cell;UPMC|CD8 T cell,1,"cosine similarity of the two NAMES is about 0.97 so a text encoder merges them. They are opposite cell types and CD4/CD8A are both in the shared panel, so marker profiles must split them - with no file telling them to",the plan's hard case 4,0,
same_name_different_type,different,Phillips|tumor cells;CRC|tumor cells,1,"IDENTICAL strings, different cell types. Phillips is cutaneous T-cell lymphoma so its malignant cells are T lymphocytes; CRC's are colorectal epithelium. Gate 1 measured Phillips tumor cells at CD3 0.815 and keratin 0.432 (below chance)","ADDED to the plan's four. This is the strongest single test of the whole Stage 1b claim - align by profile, not by name. A text encoder scores these identical and must merge them; a marker method must split them",0,
b_cells,same,CRC|B cells;UPMC|B cell;Keren|B;ferguson|BC;Phillips|B cells;Sorin|B cell,0,CD20/MS4A1 is one of the 9 all-cohort core markers and B cells were 0.91-0.99 AUROC in every cohort at Gate 1,diagnostic - the easiest possible merge. Failing this means something is broken upstream,0,
macrophages,same,CRC|CD68+CD163+ macrophages;UPMC|Macrophage;Keren|Macrophages;ferguson|MC;Phillips|macrophages (M1>M2);Sorin|Cl MAC,0,CD68 is one of the 9 all-cohort core markers,diagnostic,0,
cd8_t,same,CRC|CD8+ T cells;UPMC|CD8 T cell;Keren|CD8_T;ferguson|TC_CD8;Phillips|CD8+ T cells;Sorin|Tc,0,CD8A is one of the 9 all-cohort core markers. Note ferguson TC_CD8 and Sorin Tc share no word with the others,diagnostic - and the opaque-code case that text cannot do,0,
tumour_vs_tcell,different,UPMC|Tumor;UPMC|CD8 T cell,0,"keratin-high epithelium versus a CD8 lymphocyte, inside ONE cohort so every marker is shared",diagnostic floor - if this fails the containment measure itself is broken,0,
